updated_at,users,statuses
2022-11-27 18:23,1,5
2022-11-27 21:17,1,5
2022-11-28 01:44,3,17
2022-11-28 03:31,3,18
2022-11-28 06:26,3,20
2022-11-28 09:20,3,20
2022-11-28 12:38,4,20
2022-11-28 15:18,4,24
2022-11-28 18:25,4,25
2022-11-28 21:18,4,26
2022-11-29 01:44,4,29
2022-11-29 03:30,4,29
2022-11-29 06:26,4,29
2022-11-29 09:19,4,29
2022-11-29 12:39,4,29
2022-11-29 15:21,4,32
2022-11-29 18:23,4,33
2022-11-29 21:18,4,33
2022-11-30 01:45,4,33
2022-11-30 03:27,4,34
2022-11-30 06:25,4,35
2022-11-30 09:20,4,35
2022-11-30 12:41,4,35
2022-11-30 15:22,4,36
2022-11-30 18:25,4,38
2022-11-30 21:18,4,38
2022-12-01 01:56,4,38
2022-12-01 03:38,4,38
2022-12-01 06:26,4,38
2022-12-01 09:20,4,38
2022-12-01 12:42,4,38
