updated_at,users,statuses
2022-11-24 06:25,1,8
2022-11-24 09:19,1,8
2022-11-24 12:40,1,8
2022-11-24 15:20,1,8
2022-11-24 18:25,1,8
2022-11-24 21:17,1,8
2022-11-25 01:46,1,8
2022-11-25 03:37,1,8
2022-11-25 06:26,1,8
2022-11-25 09:19,1,9
2022-11-25 12:39,1,9
2022-11-25 15:20,1,9
2022-11-25 18:25,1,9
2022-11-25 21:17,1,9
2022-11-26 01:41,1,9
2022-11-26 03:26,1,9
2022-11-26 06:24,1,9
2022-11-26 09:18,1,9
2022-11-26 12:35,1,9
2022-11-26 15:19,1,9
2022-11-26 18:23,1,9
2022-11-26 21:17,1,9
2022-11-27 01:51,1,9
2022-11-27 03:40,1,9
2022-11-27 06:24,1,9
2022-11-27 09:18,1,11
2022-11-27 12:35,1,11
2022-11-27 15:19,1,14
2022-11-27 18:23,1,14
2022-11-27 21:17,1,14
2022-11-28 01:44,1,14
2022-11-28 03:31,1,14
2022-11-28 06:26,1,14
2022-11-28 09:20,1,14
2022-11-28 12:38,1,14
2022-11-28 15:18,1,14
2022-11-28 18:25,1,14
2022-11-28 21:18,1,14
2022-11-29 01:44,1,14
2022-11-29 03:30,1,14
2022-11-29 06:26,1,15
2022-11-29 09:19,1,15
2022-11-29 12:39,1,15
2022-11-29 15:21,1,16
2022-11-29 18:23,1,16
2022-11-29 21:18,1,16
2022-11-30 01:45,1,16
2022-11-30 03:27,1,16
2022-11-30 06:25,1,16
2022-11-30 09:20,1,16
2022-11-30 12:41,1,17
2022-11-30 15:22,1,17
2022-11-30 18:25,1,17
2022-11-30 21:18,1,17
2022-12-01 01:56,1,17
2022-12-01 03:38,1,17
2022-12-01 06:26,1,17
2022-12-01 09:20,1,18
2022-12-01 12:42,1,1
2022-12-01 15:21,1,2
2022-12-01 18:25,1,2
2022-12-01 21:15,1,2
2022-12-02 01:37,1,2
2022-12-02 03:24,1,2
2022-12-02 06:24,1,2
2022-12-02 09:18,1,4
2022-12-02 12:35,1,6
2022-12-02 15:17,1,5
2022-12-02 18:22,1,5
2022-12-02 21:16,1,5
2022-12-03 01:27,1,5
2022-12-03 03:20,1,5
2022-12-03 06:22,1,6
