updated_at,users,statuses
2022-11-28 01:44,1,7
2022-11-28 03:31,1,7
2022-11-28 06:26,1,7
2022-11-28 09:20,1,7
2022-11-28 12:38,1,11
2022-11-28 15:18,1,12
2022-11-28 18:25,1,14
2022-11-28 21:18,1,17
2022-11-29 01:44,1,17
2022-11-29 03:30,1,17
2022-11-29 06:26,1,17
2022-11-29 09:19,1,17
2022-11-29 12:39,1,17
2022-11-29 15:21,1,17
2022-11-29 18:23,1,19
2022-11-29 21:18,1,20
2022-11-30 01:45,1,22
2022-11-30 03:27,1,22
2022-11-30 06:25,1,22
2022-11-30 09:20,1,22
2022-11-30 12:41,1,25
2022-11-30 15:22,1,25
2022-11-30 18:25,1,25
2022-11-30 21:18,1,25
