updated_at,users,statuses
2022-12-01 06:26,1,10
2022-12-01 09:20,1,10
2022-12-01 12:42,1,10
2022-12-01 15:21,1,10
2022-12-01 18:25,1,11
2022-12-01 21:15,1,11
2022-12-02 01:37,1,11
2022-12-02 03:24,1,11
2022-12-02 06:24,1,11
2022-12-02 09:18,1,11
2022-12-02 12:35,1,11
2022-12-02 15:17,1,11
2022-12-02 18:22,1,13
2022-12-02 21:16,1,13
2022-12-03 01:27,1,15
2022-12-03 03:20,1,15
2022-12-03 06:22,1,15
2022-12-03 09:17,1,15
2022-12-03 12:33,1,15
2022-12-03 15:18,1,15
2022-12-03 18:22,1,15
2022-12-03 21:15,1,15
2022-12-04 01:39,1,15
2022-12-04 03:20,1,15
2022-12-04 06:22,1,15
2022-12-04 09:17,1,15
2022-12-04 12:35,1,15
2022-12-04 15:18,1,15
2022-12-04 18:27,1,15
2022-12-04 21:16,1,15
2022-12-05 01:38,2,24
2022-12-05 03:20,2,24
2022-12-05 06:24,2,25
2022-12-05 09:19,2,26
2022-12-05 12:37,2,27
2022-12-05 15:20,2,28
2022-12-05 18:23,2,29
2022-12-05 21:17,2,30
2022-12-06 01:35,2,32
