updated_at,users,statuses
2022-11-10 21:21,1,32
2022-11-11 02:04,1,36
2022-11-11 03:56,1,36
2022-11-11 06:32,1,36
2022-11-11 09:22,1,39
2022-11-11 12:51,1,39
2022-11-11 15:25,1,39
2022-11-11 18:29,1,39
2022-11-11 21:20,1,40
2022-11-12 01:59,1,40
2022-11-12 03:54,1,40
2022-11-12 06:27,1,40
2022-11-12 09:21,1,45
2022-11-12 12:39,1,47
2022-11-12 15:23,1,47
2022-11-12 18:26,1,47
2022-11-12 21:19,1,47
2022-11-13 01:59,1,47
2022-11-13 03:55,1,47
2022-11-13 06:27,1,47
2022-11-13 09:21,1,48
2022-11-13 12:41,1,48
2022-11-13 15:22,1,48
2022-11-13 18:26,1,48
2022-11-13 21:19,1,48
2022-11-14 01:58,1,48
2022-11-14 03:58,1,48
2022-11-14 06:29,1,48
2022-11-14 09:23,1,48
2022-11-14 12:53,1,48
2022-11-14 15:25,1,48
2022-11-14 18:27,1,48
2022-11-14 21:21,1,48
2022-11-15 01:56,1,48
2022-11-15 03:47,1,48
2022-11-15 06:26,1,48
2022-11-15 09:21,1,48
2022-11-15 12:44,1,48
2022-11-15 15:23,1,48
2022-11-15 18:27,1,48
2022-11-15 21:19,1,48
2022-11-16 01:57,1,48
2022-11-16 03:48,1,48
2022-11-16 06:26,1,48
2022-11-16 09:21,1,48
2022-11-16 12:43,1,48
2022-11-16 15:22,0,0
2022-11-16 18:26,0,0
2022-11-16 21:18,0,0
2022-11-17 01:56,0,0
2022-11-17 03:43,0,0
2022-11-17 06:27,0,0
2022-11-17 09:21,0,0
2022-11-17 12:45,0,0
2022-11-17 15:22,0,0
2022-11-17 18:26,0,0
2022-11-17 21:18,0,0
2022-11-18 02:01,0,0
2022-11-18 03:43,0,0
2022-11-18 06:27,0,0
