updated_at,users,statuses
2022-11-21 09:22,7,42
2022-11-21 13:51,7,44
2022-11-21 15:23,7,45
2022-11-21 18:27,7,51
2022-11-21 21:21,7,51
2022-11-22 01:59,7,55
2022-11-22 03:40,7,56
2022-11-22 06:27,7,60
2022-11-22 09:21,7,60
2022-11-22 12:43,7,60
2022-11-22 15:23,7,60
2022-11-22 18:26,7,60
2022-11-22 21:17,7,60
2022-11-23 01:46,8,60
2022-11-23 03:34,8,60
2022-11-23 06:25,8,60
2022-11-23 09:19,8,60
2022-11-23 12:40,8,60
2022-11-23 15:21,8,60
2022-11-23 18:24,8,60
2022-11-23 21:17,8,65
2022-11-24 01:49,8,67
2022-11-24 03:29,8,67
2022-11-24 06:25,8,67
2022-11-24 09:19,8,67
2022-11-24 12:40,8,67
2022-11-24 15:20,8,67
2022-11-24 18:25,8,69
2022-11-24 21:17,8,71
2022-11-25 01:46,8,74
2022-11-25 03:37,8,75
2022-11-25 06:26,8,77
2022-11-25 09:19,8,77
2022-11-25 12:39,8,77
2022-11-25 15:20,8,77
2022-11-25 18:25,8,77
2022-11-25 21:17,8,77
2022-11-26 01:41,8,77
2022-11-26 03:26,8,77
2022-11-26 06:24,8,78
2022-11-26 09:18,8,78
2022-11-26 12:35,8,78
2022-11-26 15:19,8,78
2022-11-26 18:23,8,78
2022-11-26 21:17,8,83
2022-11-27 01:51,8,83
2022-11-27 03:40,8,83
2022-11-27 06:24,8,83
2022-11-27 09:18,8,83
2022-11-27 12:35,8,83
2022-11-27 15:19,8,83
2022-11-27 18:23,8,83
2022-11-27 21:17,8,85
2022-11-28 03:31,8,105
2022-11-28 06:26,8,108
2022-11-28 09:20,8,108
2022-11-28 12:38,8,107
2022-11-28 15:18,8,108
2022-11-28 18:25,8,110
2022-11-28 21:18,8,111
2022-11-29 01:44,8,111
2022-11-29 03:30,8,111
2022-11-29 06:26,8,111
2022-11-29 09:19,8,111
2022-11-29 12:39,8,111
2022-11-29 15:21,8,111
2022-11-29 18:23,8,113
2022-11-29 21:18,8,112
2022-11-30 01:45,8,113
2022-11-30 03:27,8,113
2022-11-30 06:25,8,113
2022-11-30 09:20,8,113
2022-11-30 12:41,8,114
2022-11-30 15:22,8,116
2022-11-30 18:25,8,120
2022-11-30 21:18,8,120
2022-12-01 01:56,8,122
2022-12-01 03:38,8,122
2022-12-01 06:26,8,122
2022-12-01 09:20,8,123
2022-12-01 12:42,8,123
2022-12-01 15:21,8,123
2022-12-01 18:25,8,123
2022-12-01 21:15,8,124
2022-12-02 01:37,8,124
2022-12-02 03:24,8,124
2022-12-02 06:24,8,124
2022-12-02 09:18,8,124
2022-12-02 12:35,8,124
2022-12-02 15:17,8,124
2022-12-02 18:22,8,124
2022-12-02 21:16,8,125
2022-12-03 01:27,8,125
2022-12-03 03:20,8,125
2022-12-03 06:22,8,125
2022-12-03 09:17,8,125
2022-12-03 12:33,8,125
2022-12-03 15:18,8,125
2022-12-03 18:22,8,125
2022-12-03 21:15,8,126
2022-12-04 01:39,8,127
2022-12-04 03:20,8,127
2022-12-04 06:22,8,127
2022-12-04 09:17,8,128
2022-12-04 12:35,8,128
2022-12-04 15:18,8,128
