updated_at,users,statuses
2022-11-19 18:25,2,280
2022-11-19 21:18,2,280
2022-11-20 02:01,2,280
2022-11-20 03:46,2,280
2022-11-20 06:26,2,284
2022-11-20 09:19,2,286
2022-11-20 12:38,2,289
2022-11-20 15:20,2,289
2022-11-20 18:25,2,292
2022-11-20 21:18,2,292
2022-11-21 01:57,2,292
2022-11-21 07:13,2,297
2022-11-21 09:22,2,297
2022-11-21 13:51,2,297
2022-11-21 15:23,2,297
2022-11-21 18:27,2,297
2022-11-21 21:21,2,297
2022-11-22 01:59,2,297
2022-11-22 03:40,2,297
2022-11-22 06:27,2,297
2022-11-22 09:21,2,297
2022-11-22 12:43,2,297
2022-11-22 15:23,2,297
2022-11-22 18:26,2,297
2022-11-22 21:17,2,297
2022-11-23 01:46,2,297
2022-11-23 03:34,2,297
