updated_at,users,statuses
2022-11-14 01:58,1,4
2022-11-14 03:58,1,6
2022-11-14 06:29,1,6
2022-11-14 09:23,1,6
2022-11-14 12:53,1,6
2022-11-14 15:25,1,6
2022-11-14 18:27,1,6
2022-11-14 21:21,1,8
2022-11-15 01:56,1,8
2022-11-15 03:47,1,8
2022-11-15 06:26,1,8
2022-11-15 09:21,1,8
2022-11-15 12:44,1,8
2022-11-15 15:23,1,8
2022-11-15 18:27,1,8
2022-11-15 21:19,1,10
2022-11-16 01:57,1,10
2022-11-16 03:48,1,10
2022-11-16 06:26,1,10
2022-11-16 09:21,1,10
2022-11-16 12:43,1,10
2022-11-16 15:22,1,10
2022-11-16 18:26,1,10
2022-11-16 21:18,1,10
2022-11-17 01:56,1,10
2022-11-17 03:43,1,10
2022-11-17 06:27,1,10
2022-11-17 09:21,1,10
2022-11-17 12:45,1,10
2022-11-17 15:22,1,10
2022-11-17 18:26,1,10
2022-11-17 21:18,1,11
2022-11-18 02:01,1,11
2022-11-18 03:43,1,12
2022-11-18 06:27,1,12
2022-11-18 09:21,1,12
2022-11-18 12:40,1,12
2022-11-18 15:22,1,12
2022-11-18 18:28,1,12
2022-11-18 21:18,1,12
2022-11-19 01:53,1,12
2022-11-19 03:41,1,12
2022-11-19 06:26,1,12
2022-11-19 09:19,1,12
2022-11-19 12:37,1,12
2022-11-19 15:21,1,12
2022-11-19 18:25,1,12
2022-11-19 21:18,1,14
2022-11-20 02:01,1,17
2022-11-20 03:46,1,17
2022-11-20 06:26,1,17
2022-11-20 09:19,1,17
2022-11-20 12:38,1,17
2022-11-20 15:20,1,18
2022-11-20 18:25,1,18
2022-11-20 21:18,2,18
2022-11-21 01:57,2,16
2022-11-21 07:13,2,16
2022-11-21 09:22,2,16
2022-11-21 13:51,2,16
2022-11-21 15:23,2,23
2022-11-21 18:27,2,24
2022-11-21 21:21,2,24
2022-11-22 01:59,2,24
2022-11-22 03:40,2,24
2022-11-22 06:27,2,24
2022-11-22 09:21,2,24
2022-11-22 12:43,2,24
2022-11-22 15:23,2,24
2022-11-22 18:26,2,24
2022-11-22 21:17,2,25
2022-11-23 01:46,2,25
2022-11-23 03:34,2,25
2022-11-23 06:25,2,25
2022-11-23 09:19,2,25
2022-11-23 12:40,2,25
2022-11-23 15:21,2,25
2022-11-23 18:24,2,25
2022-11-23 21:17,2,25
2022-11-24 01:49,2,25
2022-11-24 03:29,1,27
2022-11-24 06:25,1,27
2022-11-24 09:19,1,27
2022-11-24 12:40,1,27
2022-11-24 15:20,1,27
2022-11-24 18:25,1,27
2022-11-24 21:17,1,27
2022-11-25 01:46,1,27
2022-11-25 03:37,1,27
2022-11-25 06:26,1,27
2022-11-25 09:19,1,27
2022-11-25 12:39,1,27
2022-11-25 15:20,1,27
2022-11-25 18:25,1,27
2022-11-25 21:17,1,27
2022-11-26 01:41,1,27
2022-11-26 03:26,1,27
2022-11-26 06:24,1,27
2022-11-26 09:18,1,27
2022-11-26 12:35,1,27
2022-11-26 15:19,1,27
2022-11-26 18:23,1,27
2022-11-26 21:17,1,28
2022-11-27 01:51,1,28
2022-11-27 03:40,1,28
2022-11-27 06:24,1,28
2022-11-27 09:18,1,28
2022-11-27 12:35,1,28
2022-11-27 15:19,1,28
2022-11-27 18:23,1,28
2022-11-27 21:17,1,28
2022-11-28 01:44,1,28
2022-11-28 03:31,1,28
2022-11-28 06:26,1,28
2022-11-28 09:20,1,28
2022-11-28 12:38,1,28
2022-11-28 15:18,1,28
2022-11-28 18:25,1,28
2022-11-28 21:18,1,28
2022-11-29 01:44,1,28
2022-11-29 03:30,1,28
2022-11-29 06:26,1,28
2022-11-29 09:19,1,28
2022-11-29 12:39,1,28
2022-11-29 15:21,1,28
2022-11-29 18:23,1,29
2022-11-29 21:18,1,29
