updated_at,users,statuses
2022-11-26 01:41,1,4
2022-11-26 03:26,1,5
2022-11-26 06:24,2,5
2022-11-26 09:18,2,5
2022-11-26 12:35,2,5
2022-11-26 15:19,2,5
2022-11-26 18:23,2,5
2022-11-26 21:17,2,5
2022-11-27 01:51,2,17
2022-11-27 03:40,2,18
2022-11-27 06:24,2,18
2022-11-27 09:18,2,18
2022-11-27 12:35,2,18
2022-11-27 15:19,2,18
2022-11-27 18:23,2,18
2022-11-27 21:17,2,18
2022-11-28 01:44,2,21
2022-11-28 03:31,2,21
2022-11-28 06:26,2,21
2022-11-28 09:20,2,22
2022-11-28 12:38,2,22
2022-11-28 15:18,2,22
2022-11-28 18:25,2,22
2022-11-28 21:18,2,22
2022-11-29 01:44,2,22
